Organization Name,Industries,Food and Restaurant Dummy,High Tech Dummy,Headquarters Regions,Founded Date,Founded Year,Founders,Number of Investors,Patents Granted,Trademarks Registered,Total Funding Amount,Number of Funding Rounds,Closed Dummy,Number of Events,Number of Articles,Diversity Spotlight Dummy,Page Views / Visit,Announced Date,Headquarters Location,Close Date,Organization Name.1,America Dummy,Asia Dummy,Middle East Dummy,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic school entrepreneurial education and training,Post school entrepreneurial education and training,R&D transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Founders_Cleaned,Repeat_Founder
Joystream,"Blockchain, Information Services, Information Technology",0,1,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",2015,2015,—,38,0,0,5850000,1,1,0,2,0,1,—,"Oslo, Oslo, Norway",8/1/2016 0:00,Norway,0,0,0,5.72,3.78,4.33,4.38,4.02,4.2,4.25,5.45,5.23,4.23,6.75,4.72,[],0
Blab,"Internet, Media and Entertainment, Video",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Furqan Rydhan, Michael Birch, Shaan Puri",1,0,0,5000000,1,1,0,1,0,1,—,"San Francisco, California, United States",8/14/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Furqan Rydhan', 'Michael Birch', 'Shaan Puri']",0
RETRAVEL,"Hotel, Marketplace, Reservations",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,"Andreas Höcherl, Svenja Gossing",1,0,0,25000,1,1,0,2,0,—,—,"Düsseldorf, Nordrhein-Westfalen, Germany",9/15/2016 0:00,Germany,0,0,0,4.32,4.23,3.9,5.62,2.75,4.15,3.97,5.88,4.48,5.08,6.35,4.22,"['Andreas Höcherl', 'Svenja Gossing']",0
Fideliz,Information Technology,0,0,"Europe, Middle East, and Africa (EMEA)",2015,2015,—,1,0,0,"CHF10,000",1,1,0,0,0,—,—,"Lausanne, Vaud, Switzerland",10/10/2016 0:00,Switzerland,0,0,0,4.68,5.73,5.82,5.98,4.93,6.18,6.22,6.2,4.5,5.63,7.72,5.87,[],0
OpsDataStore,"Information Services, Information Technology, Software",0,1,"Greater Atlanta Area, East Coast, Southern US",2015,2015,"Bernd Harzog, Dave Wagner",8,0,0,5891068,3,1,2,1,0,—,—,"Alpharetta, Georgia, United States",12/7/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Bernd Harzog', 'Dave Wagner']",0
BlueSpotPark,"Apps, Enterprise Software, Information Technology, Mobile, Parking, Software",0,1,Southern US,2015,2015,"Daniel Lundh, Lina Smith",1,0,0,25000,1,1,1,0,1,—,—,"Benton, Louisiana, United States",12/20/2016 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Daniel Lundh', 'Lina Smith']",0
Papèm,"E-Commerce, Fashion, Marketplace, Shopping",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,"Alberto Lo Bue, Carlo Alberto, Pietro Albano, Roberto Pirrone",1,0,1,430000,2,1,0,0,0,—,—,"Palermo, Sicilia, Italy",2017,Italy,0,0,0,5.12,3.22,2.53,3.37,2.95,4.23,3.97,4.28,4.33,4.1,5.07,3.6,"['Alberto Lo Bue', 'Carlo Alberto', 'Pietro Albano', 'Roberto Pirrone']",0
PartyWith,"Apps, Events, iOS, Local, Mobile, Social Media, Travel",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,Dan Fennessy,4,0,0,435000,3,1,0,2,0,—,—,"Amsterdam, Noord-Holland, The Netherlands",2017,Netherlands,0,0,0,4.27,5.38,5.78,5.83,4.93,5.65,5.22,5.88,4.92,6.08,7.35,5.8,['Dan Fennessy'],0
Pro Player,"Computer, Online Games",0,0,"San Francisco Bay Area, Silicon Valley, West Coast",2015,2015,—,1,0,0,120000,1,1,1,0,0,—,—,"Mountain View, California, United States",2017,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,[],0
Intellimotion Technology,"Mining, Textiles, Wearables",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,Łukasz Pochylski,1,0,0,"PLN600,000",1,1,0,0,0,—,—,"Warszawa, Mazowieckie, Poland",1/1/2017 0:00,Poland,0,0,0,5.15,4.6,3.52,4.65,2.55,3.87,3.58,4.5,6.33,4.55,6.78,4.4,['Łukasz Pochylski'],0
Franklin Robotics,"Agriculture, Artificial Intelligence (AI), Consumer Goods, Robotics",0,1,"Greater Boston Area, East Coast, New England",2015,2015,"Joe Jones, John Chase, Rory MacKean",1,1,2,1000000,2,1,1,4,0,—,—,"Billerica, Massachusetts, United States",2/6/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Joe Jones', 'John Chase', 'Rory MacKean']",0
Halolife,"Communities, Internet, Software",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Jake Beyer, Sam Bolgert",1,0,0,120000,2,1,1,0,0,—,—,"San Francisco, California, United States",3/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Jake Beyer', 'Sam Bolgert']",0
DisputeBills.com,"Billing, Elder Care, Health Care, Medical, Personal Health",0,1,"Greater Chicago Area, Great Lakes, Midwestern US",2015,2015,"Matt Moulakelis, Tim Buhay",1,0,1,400000,2,1,0,4,0,2,—,"Chicago, Illinois, United States",3/10/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Matt Moulakelis', 'Tim Buhay']",0
Staffjoy,"Artificial Intelligence (AI), Consulting, Human Resources, Information Technology, SaaS, Scheduling, Small and Medium Businesses, Software",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Andrew Hess, Philip I. Thomas",9,0,0,1212000,3,1,0,2,0,1.84,—,"San Francisco, California, United States",3/15/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Andrew Hess', 'Philip I. Thomas']",0
Roger,"Apps, Messaging, Mobile, Mobile Apps",0,0,"Greater New York Area, East Coast, Northeastern US",2015,2015,"Andreas Blixt, Ricardo Vice Santos",8,0,0,1000000,1,1,0,3,0,1,—,"New York, New York, United States",3/15/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Andreas Blixt', 'Ricardo Vice Santos']",0
Locent,"Health Care, Internet, SMS",0,1,"Greater Los Angeles Area, West Coast, Western US",2015,2015,"Chris Ishida, Matt Joseph",3,0,0,1380000,2,1,1,15,1,—,—,"Santa Monica, California, United States",3/22/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Chris Ishida', 'Matt Joseph']",0
My Home Pro Network,"Internet, Marketing, Real Estate",0,1,"Greater Boston Area, East Coast, New England",2015,2015,Nicholas Pontacoloni,1,0,0,150000,1,1,0,0,0,—,—,"Boston, Massachusetts, United States",4/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Nicholas Pontacoloni'],0
Akross,"Crowdsourcing, Events",0,0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2015,2015,"Asaf S., Tomer Sasson",1,0,0,500000,1,1,0,0,0,—,—,"Tel Aviv-yafo, Tel Aviv, Israel",4/1/2017 0:00,Israel,0,0,1,5.37,3.68,2.8,4,3.05,4.32,4.5,5.55,4,3.57,6.37,7.33,"['Asaf S.', 'Tomer Sasson']",0
Yak Hub,"Local Business, Marketing",0,1,"Europe, Middle East, and Africa (EMEA)",2015,2015,"Daniel Leary, Nimalesh Sukumar, Tom Murray",2,0,0,"£30,000",2,1,0,0,0,—,—,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",4/4/2017 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,"['Daniel Leary', 'Nimalesh Sukumar', 'Tom Murray']",0
mShipper,"Crowdsourcing, Logistics, Supply Chain Management, Video",0,1,Asia-Pacific (APAC),2015,2015,"Ranvijay Singh, Saurav Sagar, Vishwa Bhaskar",1,0,0,77000,1,1,0,3,0,—,—,"New Delhi, Delhi, India",5/25/2017 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Ranvijay Singh', 'Saurav Sagar', 'Vishwa Bhaskar']",0
Luno,"Bitcoin, Business Development, Internet",0,0,"Europe, Middle East, and Africa (EMEA)",2015,2015,Robin Johnson,2,0,0,"£30,000",1,1,0,1,0,—,—,"London, England, United Kingdom",5/30/2017 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,['Robin Johnson'],0
Kodu Care,"Fitness, Health Care, Hospital, Mental Health, Professional Services",0,1,"Greater Seattle Area, West Coast, Western US",2015,2015,"Mauricio Gonzalez de la Fuente, Sigal Ben-Ari",1,0,0,35000,1,1,0,2,1,—,—,"Seattle, Washington, United States",5/30/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Mauricio Gonzalez de la Fuente', 'Sigal Ben-Ari']",0
Rewired Solutions,"Advertising, Analytics, Information Technology, Professional Services, Retail, SaaS",0,1,"East Coast, Southern US",2015,2015,Timothy Hearon,1,1,2,1500000,1,1,0,0,0,—,—,"Sarasota, Florida, United States",6/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Timothy Hearon'],0
Squad,"Mobile, Software",0,1,"Greater New York Area, East Coast, Northeastern US",2015,2015,Adam Liebman,4,0,0,1700000,1,1,0,360,0,—,—,"New York, New York, United States",6/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Adam Liebman'],0
Grou App,"Events, Mobile, Nightlife, Ticketing",0,0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015,2015,"Arnau Navarro Rodriguez, Xavier Pérez Oller, Àlex Purull Polo",1,0,0,200000,2,1,0,4,0,—,—,"Sabadell, Catalonia, Spain",7/1/2017 0:00,Spain,0,0,0,3.87,4.08,3.87,4.82,3.48,4.3,3.93,4.47,4.47,4.3,5.1,4.38,"['Arnau Navarro Rodriguez', 'Xavier Pérez Oller', 'Àlex Purull Polo']",0
BioLoom,Advanced Materials,0,0,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Alexander Neckelmann, Jennifer Kaehms, Rohit Anand",2,0,0,50000,1,1,1,0,1,—,—,"San Francisco, California, United States",7/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Alexander Neckelmann', 'Jennifer Kaehms', 'Rohit Anand']",0
Operable,"Cloud Infrastructure, Developer Tools",0,1,"Research Triangle, East Coast, Southern US",2015,2015,"Kevin Smith, Mark Imbriaco",2,0,0,2700000,1,1,0,4,0,—,—,"Wake Forest, North Carolina, United States",7/3/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Kevin Smith', 'Mark Imbriaco']",0
ECO Shrimp Garden,Seafood,1,0,"Greater New York Area, East Coast, Northeastern US",2015,2015,Jean Claude Frajmund,1,0,1,175000,1,1,0,0,1,—,—,"Newburgh, New York, United States",7/6/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Jean Claude Frajmund'],0
LinkBee,FinTech,0,1,"Greater New York Area, East Coast, Northeastern US",2015,2015,"Aleks Dugonjic, Chris Pavlovski",2,1,0,6000000,1,1,0,3,0,1.96,—,"New York, New York, United States",8/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Aleks Dugonjic', 'Chris Pavlovski']",1
Urban3D,"Industrial, Manufacturing",0,0,"Greater New York Area, East Coast, Northeastern US",2015,2015,Anielle Guedes,2,0,0,220000,2,1,0,1,1,—,—,"New York, New York, United States",9/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Anielle Guedes'],0
Voodoo,"E-Commerce, Information Services, Information Technology, Internet",0,0,Asia-Pacific (APAC),2015,2015,"Mohit Mittal, Vijay Simha Reddy",1,0,0,1000000,1,1,0,3,0,—,—,"New Delhi, Delhi, India",10/1/2017 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Mohit Mittal', 'Vijay Simha Reddy']",0
Workgeni.us,"Employment, Information Technology, Internet, Service Industry, Staffing Agency",0,0,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Ben Bear, Bjorn Wanbo",1,0,0,125000,1,1,1,0,0,—,—,"San Francisco, California, United States",10/20/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Ben Bear', 'Bjorn Wanbo']",0
ProEditors,Video,0,0,Western US,2015,2015,Patrick Latcham,1,0,0,25000,1,1,0,0,0,—,—,"Telluride, Colorado, United States",11/1/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Patrick Latcham'],0
Patchwork Security,"Cyber Security, Network Security, Security, Software",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,"David Chan, Shamiq Islam",1,0,0,120000,1,1,1,0,0,1,—,"Oakland, California, United States",11/6/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['David Chan', 'Shamiq Islam']",0
Compgun,"Internet, Management Consulting, Sales",0,0,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Jake Seip, Tim Sze",1,0,0,120000,1,1,1,1,0,—,—,"San Francisco, California, United States",12/8/2017 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Jake Seip', 'Tim Sze']",0
Tazzo Technologies,"Railroad, Transportation",0,1,Asia-Pacific (APAC),2015,2015,"Priyam Saraswat, Priyank Suthar, Shivangi Srivastava, Vikrant Gossain",1,0,0,232745,2,1,0,3,0,—,—,"Hyderabad, Andhra Pradesh, India",1/1/2018 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Priyam Saraswat', 'Priyank Suthar', 'Shivangi Srivastava', 'Vikrant Gossain']",0
ServeAnywhere,"Education, Food and Beverage, Hospitality, Hotel, Restaurants",1,0,"East Coast, Southern US",2015,2015,Phillip Loeffel,1,0,0,250000,1,1,0,0,0,—,—,"Orlando, Florida, United States",2018,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Phillip Loeffel'],0
BNB Shield,"Hospitality, Real Estate, Retail Technology",0,1,Southern US,2015,2015,"Bruce Merrell, Jordan French",3,0,0,25000,1,1,0,14,0,—,—,"Austin, Texas, United States",2018,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Bruce Merrell', 'Jordan French']",0
Josephine,"Cooking, Food and Beverage, Food Delivery",1,0,"San Francisco Bay Area, West Coast, Western US",2015,2015,"Charley Wang, Matthew Jorgensen, Tal Safran",5,0,0,3100000,3,1,0,12,0,1,—,"Oakland, California, United States",2/2/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Charley Wang', 'Matthew Jorgensen', 'Tal Safran']",0
"Bumpers, Inc.","Audio, Digital Entertainment, Mobile Apps",0,1,"Greater New York Area, East Coast, Northeastern US",2015,2015,"Ian Ownbey, Jacob Thornton",4,0,0,1000000,3,1,0,3,0,1,—,"New York, New York, United States",2/14/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Ian Ownbey', 'Jacob Thornton']",0
Brightwork,"Apps, Cloud Infrastructure, Developer Platform, Software",0,1,"West Coast, Western US",2015,2015,"Josh Carter, Phil Taylor",2,0,0,120000,2,1,3,10,0,—,—,"Portland, Oregon, United States",5/24/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Josh Carter', 'Phil Taylor']",0
Airmada,"Aerospace, Drones, Enterprise",0,0,"Greater Boston Area, East Coast, New England",2015,2015,"Boris Lipchin, Dan Danay",4,0,0,870000,3,1,1,7,0,—,—,"Boston, Massachusetts, United States",6/1/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Boris Lipchin', 'Dan Danay']",0
Atlas Informatics,"Computer, Search Engine, Software",0,1,"Greater Seattle Area, West Coast, Western US",2015,2015,"Jordan Ritter, Matthew Holloway",2,0,0,20700000,1,1,1,2,0,—,—,"Seattle, Washington, United States",6/3/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Jordan Ritter', 'Matthew Holloway']",0
Restocks,"Android, Brand Marketing, Sales",0,1,"San Francisco Bay Area, West Coast, Western US",2015,2015,Luke Miles,1,0,0,120000,1,1,1,1,0,1,—,"San Francisco, California, United States",6/7/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Luke Miles'],0
Muss Automotive Fashion,"Automotive, Fashion, Lifestyle",0,0,"Europe, Middle East, and Africa (EMEA)",2015,2015,—,1,0,0,"£250,000",1,1,0,0,0,—,—,"Gateshead, Gateshead, United Kingdom",6/22/2018 0:00,United Kingdom,0,0,0,3.82,4.67,4.23,4.52,4.02,5.18,4.22,5.07,5.1,4.7,5.98,5.43,[],0
Wise Apple,"E-Commerce, Food and Beverage, Food Delivery, Service Industry",1,0,"Greater Chicago Area, Great Lakes, Midwestern US",2015,2015,"Nathan Cooper, Rebecca Sholiton",12,0,1,7055000,4,1,0,28,1,—,—,"Chicago, Illinois, United States",6/27/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Nathan Cooper', 'Rebecca Sholiton']",0
iHosp,"Health Care, Hospital, Information Technology",0,1,"Asia-Pacific (APAC), Australasia",2015,2015,Farhang Dehzad,1,0,0,"A$100,000",1,1,0,1,0,—,—,"Geelong, Victoria, Australia",7/11/2018 0:00,Australia,0,0,0,3.17,3.73,4.2,4.22,3.72,4.22,3.68,5.1,4.83,4.68,6.4,4.77,['Farhang Dehzad'],0
Pro Hydration Therapy,"Health Care, Medical, Therapeutics",0,1,Southern US,2015,2015,Matthew Wesseling,2,0,0,150000,1,1,0,0,0,—,—,"Nashville, Tennessee, United States",8/8/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Matthew Wesseling'],0
KijiFoods,"Agriculture, Food and Beverage, Food Processing, Health Care, Medical, Organic Food",1,1,Asia-Pacific (APAC),2015,2015,"Divesh Bhadani, Vaibhav Sinha",2,0,0,463000,1,1,0,0,0,—,—,"Bangalore, Karnataka, India",9/1/2018 0:00,India,0,1,0,4,5.52,4.03,4.53,4.12,5.12,4.3,4.95,5.63,4.77,6.08,5.45,"['Divesh Bhadani', 'Vaibhav Sinha']",0
Enlibrium,"Energy, Health Care, Medical",0,1,"Greater San Diego Area, West Coast, Western US",2015,2015,"David Campbell, Michael Jung, Richard Pietras",4,0,0,15000000,1,1,0,0,0,—,—,"San Diego, California, United States",9/28/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['David Campbell', 'Michael Jung', 'Richard Pietras']",0
UNOMICEDGE,"Information Technology, Network Security, Software",0,1,"Washington DC Metro Area, East Coast, Southern US",2015,2015,"James Harris, John Nelson, Scott Slinker",1,0,0,50000,1,1,1,1,0,—,—,"Arlington, Virginia, United States",9/28/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['James Harris', 'John Nelson', 'Scott Slinker']",0
Havelaar,Electric Vehicle,0,0,Great Lakes,2015,2015,Tony Han,1,0,0,3000000,1,1,0,0,0,—,—,"Toronto, Ontario, Canada",10/14/2018 0:00,Canada,0,0,0,3.63,4.7,5.27,5,4.18,5.32,4.3,6.32,3.77,4.95,6.9,5.87,['Tony Han'],0
Seiva Technologies,"Biotechnology, Health Care, Information Technology, Sensor, Sports, Wearables, Wellness",0,1,"Great Lakes, Midwestern US",2015,2015,"Andrew Hampel, Sam Wesley",3,0,0,125000,4,1,0,8,0,—,—,"Milwaukee, Wisconsin, United States",10/20/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Andrew Hampel', 'Sam Wesley']",0
Nitrogenics,"Agriculture, Biotechnology, Chemical",0,0,Midwestern US,2015,2015,Alexander Krichevsky,2,0,0,175000,1,1,0,0,0,—,—,"Saint Louis, Missouri, United States",10/22/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,['Alexander Krichevsky'],0
Mindori,"Apps, E-Commerce, Speech Recognition",0,0,"San Francisco Bay Area, Silicon Valley, West Coast",2015,2015,"Awni Hannun, Chris Lengerich",2,0,0,320000,1,1,1,0,0,2,—,"Palo Alto, California, United States",11/26/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Awni Hannun', 'Chris Lengerich']",0
Poppy,"Child Care, Children, Health Care",0,1,"Greater Seattle Area, West Coast, Western US",2015,2015,"Avni Patel Thompson, Richerd Chan",1,0,0,120000,1,1,1,11,1,—,—,"Seattle, Washington, United States",12/4/2018 0:00,United States,1,0,0,5.42,4.37,4.68,4.12,3.58,4.5,4.23,5.37,5.65,4.42,6.97,6.7,"['Avni Patel Thompson', 'Richerd Chan']",0
